"run_id","started_at_utc","task_label","models","agent_turns","total_tool_call_envelopes","exec_call_envelopes","wait_call_envelopes","subagent_call_envelopes","other_call_envelopes","repository_interaction_envelopes","file_read_envelopes","discovery_search_envelopes","validation_envelopes","github_cli_envelopes","external_tool_operation_mentions","operation_classification_status","input_tokens","cached_input_tokens","cache_write_input_tokens","output_tokens","reasoning_output_tokens","total_tokens","estimated_codex_credits","estimated_api_equivalent_usd","actual_cost_usd","token_evidence_status","tool_evidence_status","cost_evidence_status","phase_attribution_status","evidence_note"
"01a04cfd-444e-7772-88f0-daaa88ee10a2","2026-08-29T10:07:41.700Z","Check locally implemented Issue status","gpt-5.6-luna","1","0","0","0","0","0","0","0","0","0","0","0","derived","","","","","","","","","","unavailable","reported","unavailable","unavailable","No token-usage record; trace contains no agent response or tool call."
"01a049ef-abbc-78f1-9a0f-a91164009b91","2026-08-28T19:53:59.367Z","Publish the Disco route and reorganize milestones","gpt-5.6-luna","8","22","21","1","0","0","21","3","16","1","8","0","derived","1280678","1219328","0","9666","4419","1290344","1.206","0.0483","","reported","reported","estimated","unavailable","Trace counters and tool envelopes were directly recorded; credits and API-equivalent USD are normalized estimates."
"01a0496b-4b5b-7c73-9364-9a0296e05fb6","2026-08-28T17:29:23.646Z","Integrate Issue branches and resolve Issue 179","gpt-5.6-sol;gpt-5.6-luna;gpt-5.6-terra","17","84","78","6","0","0","76","29","51","24","22","2","derived","10918235","10443008","0","29935","13535","10948170","80.895","3.2358","","reported","reported","estimated","unavailable","Trace counters and tool envelopes were directly recorded; credits and API-equivalent USD are normalized estimates."
"01a048fd-41d4-7530-abce-33ff9880838f","2026-08-28T15:29:12.242Z","Reconcile pushed Issues and fix StoryPanel heading contrast","gpt-5.6-terra","24","139","128","11","0","0","121","38","83","44","37","1","derived","17418100","17039104","0","67354","29638","17485454","124.352","4.9741","","reported","reported","estimated","unavailable","Trace counters and tool envelopes were directly recorded; credits and API-equivalent USD are normalized estimates."
"01a048e8-a054-74b1-a78c-5ac0d26e104d","2026-08-28T15:06:40.198Z","Complete Disco editorial handoff and replay authoring stages","gpt-5.6-terra;gpt-5.6-sol","52","422","410","12","0","0","400","149","214","77","90","0","derived","52651455","50897408","0","243770","63678","52895225","633.099","25.3239","","reported","reported","estimated","unavailable","Trace counters and tool envelopes were directly recorded; credits and API-equivalent USD are normalized estimates."
"01a04778-d0fa-7bf1-82c0-27681ce5a9ab","2026-08-28T08:24:55.338Z","Revise navigation and deliver several frontend workflow Issues","gpt-5.6-sol;gpt-5.6-terra","83","712","661","51","0","0","637","193","250","156","171","14","derived","99727573","97381504","0","256774","77883","99984347","788.434","31.5374","","reported","reported","estimated","unavailable","Trace counters and tool envelopes were directly recorded; credits and API-equivalent USD are normalized estimates."
"01a04777-6fb0-7382-a2f0-0b862f216252","2026-08-28T08:23:24.909Z","Continue experimental route stages and editorial handoff","gpt-5.6-terra;gpt-5.6-sol","46","503","489","14","0","0","488","194","226","92","144","0","derived","70916441","69148928","0","296167","81991","71212608","826.564","33.0626","","reported","reported","estimated","unavailable","Trace counters and tool envelopes were directly recorded; credits and API-equivalent USD are normalized estimates."
"01a0457c-204b-7a52-9a17-8c2009bd5d6b","2026-08-27T23:09:17.822Z","Add flexible Event story sections and design route navigation","gpt-5.6-sol","11","216","216","0","0","0","203","78","78","43","42","3","derived","29309155","28694272","0","66265","15310","29375420","381.564","15.2625","","reported","reported","estimated","unavailable","Trace counters and tool envelopes were directly recorded; credits and API-equivalent USD are normalized estimates."
"01a04551-7902-7dc2-8b75-9bcbab960843","2026-08-27T22:22:42.503Z","Run Disco authoring stages and illustrate story hierarchy","gpt-5.6-sol","25","250","250","0","0","0","222","110","112","42","72","29","derived","34438442","33161216","0","165707","41385","34604149","542.188","21.6875","","reported","reported","estimated","unavailable","Trace counters and tool envelopes were directly recorded; credits and API-equivalent USD are normalized estimates."
"01a043db-d3e7-78b3-9844-27e439dada31","2026-08-27T15:34:35.337Z","Implement multimarker behavior and define Project status lifecycle","gpt-5.6-sol","30","272","265","7","0","0","251","80","95","56","85","5","derived","40582740","40022016","0","102510","31969","40685250","507.548","20.3019","","reported","reported","estimated","unavailable","Trace counters and tool envelopes were directly recorded; credits and API-equivalent USD are normalized estimates."
